run_id,process_count,rank,local_index,task_id,mapping_rule
mpi-final_macbook_air_2d-N412-P4,4,3,88,355,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,89,356,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,89,357,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,89,358,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,89,359,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,90,360,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,90,361,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,90,362,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,90,363,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,91,364,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,91,365,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,91,366,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,91,367,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,92,368,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,92,369,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,92,370,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,92,371,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,93,372,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,93,373,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,93,374,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,93,375,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,94,376,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,94,377,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,94,378,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,94,379,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,95,380,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,95,381,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,95,382,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,95,383,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,96,384,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,96,385,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,96,386,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,96,387,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,97,388,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,97,389,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,97,390,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,97,391,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,98,392,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,98,393,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,98,394,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,98,395,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,99,396,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,99,397,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,99,398,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,99,399,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,100,400,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,100,401,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,100,402,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,100,403,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,101,404,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,101,405,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,101,406,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,101,407,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,102,408,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,102,409,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,102,410,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,102,411,task_id mod process_count
